title,price,brand,image_link,url,sub_category,category,gender,promotions,metadata_features
Geox Jr Sandal Strada B Fisherman  Brown Red  2.5 UK Child,£50.00,Visit the Geox Store,https://m.media-amazon.com/images/I/41OuvqjhaqL.jpg,https://www.amazon.co.uk/dp/B08BLP231K,Sandals,Boys' Shoes,Male,15.00%,Outer Material: Synthetic  Inner Material: Synthetic  Sole: Rubber  Closure: Strap  Heel Height: 2 centimetres  Heel Type: Flat  Shoe Width: Medium
Fila Women's Oakmont Tr Sneaker,£49.57 - £234.95,Fila,https://m.media-amazon.com/images/I/416fCMuxwLL.jpg,https://www.amazon.co.uk/dp/B08N587YZ9,Fashion Trainers,Fashion & Athletic Trainers,Female,35.00%,Outer Material: fabric  Sole: Rubber  Closure: Lace-Up  Heel Type: No Heel  Shoe Width: medium
Gabor Rollingsoft Trainers in Plus Sizes Beige 66.938.30 Large Women's Shoes,,Gabor,https://m.media-amazon.com/images/I/31GuoIF6FmL.jpg,https://www.amazon.co.uk/dp/B0918K4H1W,Fashion Trainers,Fashion & Athletic Trainers,Female,19.00%,Outer Material: Leather  Sole: Leather  Closure: Lace-Up  Shoe Width: Schmal
Merrell Women'S Bare Access Xtr Trail Running Shoes,£67.00 - £182.44,Visit the Merrell Store,https://m.media-amazon.com/images/I/51bLpccQMkL.jpg,https://www.amazon.co.uk/dp/B07KMB98CG,Trail Running Shoes,Running Shoes,Female,24.00%,Outer Material: Synthetic  Inner Material: Manmade  Sole: Synthetic  Closure: Lace-Up  Shoe Width: Medium
Desigual Women's Shoes_Runner_cmofl Sneakers Woman,£38.96 - £81.10,Desigual,https://m.media-amazon.com/images/I/41nMmmxX-oL.jpg,https://www.amazon.co.uk/dp/B08CN3S1ZK,Fashion Trainers,Fashion & Athletic Trainers,Female,35.00%,Outer Material: Polyester  Inner Material: Synthetic  Sole: Rubber  Closure: Lace-Up  Heel Type: Flat  Shoe Width: Medium
Aquatalia Men's Adamo Dress Calf Penny Loafer,£161.63 - £202.04,Aquatalia,https://m.media-amazon.com/images/I/31Q2dvpJryL.jpg,https://www.amazon.co.uk/dp/B07KJX15DV,Loafers & Moccasins,Men's Shoes,Male,40.00%,Sole: Rubber  Closure: Pull On  Shoe Width: Medium
Womens Convertible Slip-on  Tan  12,£52.82,Unknown,https://m.media-amazon.com/images/I/31cusYt00VL.jpg,https://www.amazon.co.uk/dp/B089GYT1HP,Fashion Trainers,Fashion & Athletic Trainers,Female,15.00%,Sole: Rubber  Closure: Pull On  Heel Type: Low  Shoe Width: Medium
Kappa Delhi Footwear Unisex  Mesh  Women's Low-Top Sneakers,£46.18,Visit the Kappa Store,https://m.media-amazon.com/images/I/41MfJGQsSBL.jpg,https://www.amazon.co.uk/dp/B01614251K,Fashion Trainers,Fashion & Athletic Trainers,Female,16.00%,Outer Material: Synthetic  Inner Material: Mesh  Sole: Manmade  Closure: Lace-Up  Heel Type: Flat  Shoe Width: Medium
Naturalizer Women's Cairo 4 Sneaker  Medium,£41.66 - £73.51,Naturalizer,https://m.media-amazon.com/images/I/31B+IfyybEL.jpg,https://www.amazon.co.uk/dp/B07MJ4DRRZ,Fashion Trainers,Fashion & Athletic Trainers,Female,19.00%,Sole: Synthetic  Closure: Lace-Up  Shoe Width: M
Rockport - Womens Cobb Hill Hattie Hi Cuff Platform Shoe,£120.35 - £130.73,Visit the Rockport Store,https://m.media-amazon.com/images/I/51H4VpBqujL.jpg,https://www.amazon.co.uk/dp/B07GX8GPJN,Court Shoes,Women's Shoes,Female,24.00%,Outer Material: Synthetic  Sole: Leather  Ethylene Vinyl Acetate  Closure: Buckle  Heel Type: Wedge  Shoe Width: Medium
Reebok Men's NPC Ii Fashion Sneaker,£47.00 - £156.93,Visit the Reebok Store,https://m.media-amazon.com/images/I/31Q5ITz9A1L.jpg,https://www.amazon.co.uk/dp/B012DS5U2Y,Fashion Trainers,Fashion & Athletic Trainers,Male,23.00%,Outer Material: Leather  Inner Material: Manmade  Sole: Rubber  Closure: Lace-Up  Heel Height: 1 centimetres  Heel Type: Flat  Shoe Width: Normal
adidas Women's Superstar Bold W Gymnastics Shoe,£85.00 - £93.61,Visit the adidas Store,https://m.media-amazon.com/images/I/31iEsAXEKWL.jpg,https://www.amazon.co.uk/dp/B08D3F9JQY,Fashion Trainers,Fashion & Athletic Trainers,Female,18.00%,Outer Material: Smooth Leather  Inner Material: Textile  Sole: Rubber  Closure: Lace-Up  Heel Type: No Heel  Material Composition: Leather upper  textile lining  rubber outsole  Shoe Width: Medium
Geox Women's D Sfinge a Fashion Sneaker,£64.95 - £117.00,Visit the Geox Store,https://m.media-amazon.com/images/I/41nClsGThtL.jpg,https://www.amazon.co.uk/dp/B01GRUZWAO,Fashion Trainers,Fashion & Athletic Trainers,Female,32.00%,Outer Material: Leather  Inner Material: Mesh  Sole: Ethylene Vinyl Acetate  Closure: Lace-Up  Heel Height: 3.5 centimetres  Heel Type: Flat  Fit Type: Bear in mind that Geox shoes have a comfortable fit  therefore we recommend choosing half a size smaller than your usual size  Shoe Width: Medium womens_us
K-Swiss Men's Clean Court Ii CMF Low-Top Sneakers,£20.99 - £67.57,K-Swiss,https://m.media-amazon.com/images/I/31TbwQNbqTL.jpg,https://www.amazon.co.uk/dp/B07SQ5MLXZ,Fashion Trainers,Fashion & Athletic Trainers,Male,26.00%,Outer Material: Leather  Inner Material: Synthetic Fur  Sole: Rubber  Closure: Lace-Up  Shoe Width: Medium
Volcom Mens Sub Zero Boot Winter,£65.11 - £238.10,Visit the Volcom Store,https://m.media-amazon.com/images/I/41TcKadAqZL.jpg,https://www.amazon.co.uk/dp/B00LIHRNQI,Boots,Men's Shoes,Male,38.00%,Outer Material: Leather  Sole: Rubber  Closure: Lace-Up  Shoe Width: Medium
ASICS Mens Gel-Ziruss 2 Running Shoes Carbon/Black,£99.79 - £124.99,ASICS,https://m.media-amazon.com/images/I/419SXtgq6EL.jpg,https://www.amazon.co.uk/dp/B07H3XFPR9,Road Running Shoes,Running Shoes,Male,37.00%,Outer Material: Synthetic  Sole: Rubber  Closure: Lace-Up  Shoe Width: Medium
bugatti Women's 432636065969 Low-Top Sneakers,£28.77 - £62.87,bugatti,https://m.media-amazon.com/images/I/41exUG2FL5L.jpg,https://www.amazon.co.uk/dp/B07KQKYZYR,Fashion Trainers,Fashion & Athletic Trainers,Female,11.00%,Outer Material: Synthetic  Inner Material: Textile  Sole: Ethylene Vinyl Acetate  Closure: Lace-Up  Heel Type: Flat  Shoe Width: Medium
Pablosky Girl's 495000 Sandal,£25.76 - £36.69,Pablosky,https://m.media-amazon.com/images/I/31lTfKx5r0L.jpg,https://www.amazon.co.uk/dp/B08HJJ5N7R,Sandals,Girls' Shoes,Female,27.00%,Outer Material: Leather  Sole: Rubber  Closure: Hook & Loop  Shoe Width: Medium
